Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score,GeneCards Link or Note,ensembl_gene_id
GABBR2,Gamma-Aminobutyric Acid Type B Receptor Subunit 2,Protein Coding,O75899,57,GC09M098288,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABBR2,ENSG00000136928
GABRG2,Gamma-Aminobutyric Acid Type A Receptor Subunit Gamma2,Protein Coding,P18507,57,GC05P162000,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRG2,ENSG00000113327
GCFC2,GC-Rich Sequence DNA-Binding Factor 2,Protein Coding,P16383,43,GC02M075652,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCFC2,ENSG00000005436
GEMIN2,Gem Nuclear Organelle Associated Protein 2,Protein Coding,O14893,48,GC14P039114,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN2,ENSG00000092208
GEMIN4,Gem Nuclear Organelle Associated Protein 4,Protein Coding,P57678,47,GC17M000744,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN4,ENSG00000179409
GEMIN5,Gem Nuclear Organelle Associated Protein 5,Protein Coding,Q8TEQ6,43,GC05M154887,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN5,ENSG00000082516
GEMIN6,Gem Nuclear Organelle Associated Protein 6,Protein Coding,Q8WXD5,41,GC02P038751,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN6,ENSG00000152147
GEMIN7,Gem Nuclear Organelle Associated Protein 7,Protein Coding,Q9H840,39,GC19P045075,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN7,ENSG00000142252
GEMIN8,Gem Nuclear Organelle Associated Protein 8,Protein Coding,Q9NWZ8,44,GC0XM014980,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN8,ENSG00000046647
GPATCH1,G-Patch Domain Containing 1,Protein Coding,Q9BRR8,37,GC19P033080,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPATCH1,ENSG00000076650
GPHN,Gephyrin,Protein Coding,Q9NQX3,56,GC14P066507,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPHN,ENSG00000171723
GPKOW,G-Patch Domain And KOW Motifs,Protein Coding,Q92917,42,GC0XM049113,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPKOW,ENSG00000068394
GPKOW,G-Patch Domain And KOW Motifs,Protein Coding,Q92917,42,GC0XM049113,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPKOW,ENSG00000292204
GRIK2,Glutamate Ionotropic Receptor Kainate Type Subunit 2,Protein Coding,Q13002,58,GC06P100962,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIK2,ENSG00000164418
GRIN1,Glutamate Ionotropic Receptor NMDA Type Subunit 1,Protein Coding,Q05586,59,GC09P137138,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN1,ENSG00000176884
GRIN2B,Glutamate Ionotropic Receptor NMDA Type Subunit 2B,Protein Coding,Q13224,61,GC12M013437,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B,ENSG00000273079
GRSF1,G-Rich RNA Sequence Binding Factor 1,Protein Coding,Q12849,45,GC04M070815,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRSF1,ENSG00000132463
GTF2F1,General Transcription Factor IIF Subunit 1,Protein Coding,P35269,44,GC19M091891,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2F1,ENSG00000125651
GTF2F2,General Transcription Factor IIF Subunit 2,Protein Coding,P13984,45,GC13P045120,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2F2,ENSG00000188342
HABP4,Hyaluronan Binding Protein 4,Protein Coding,Q5JVS0,40,GC09P096450,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HABP4,ENSG00000130956
HMX2,H6 Family Homeobox 2,Protein Coding,A2RU54,37,GC10P123148,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMX2,ENSG00000188816
HNRNPA1,Heterogeneous Nuclear Ribonucleoprotein A1,Protein Coding,P09651,56,GC12P054280,2.664717674,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1,ENSG00000135486
HNRNPA1L2,Heterogeneous Nuclear Ribonucleoprotein A1 Like 2,Protein Coding,Q32P51,36,GC13P052617,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1L2,ENSG00000139675
HNRNPA1L3,Heterogeneous Nuclear Ribonucleoprotein A1 Like 3,Protein Coding,A0A2R8Y4L2,20,GC16P082268,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1L3,ENSG00000224578
HNRNPA2B1,Heterogeneous Nuclear Ribonucleoprotein A2/B1,Protein Coding,P22626,54,GC07M026174,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA2B1,ENSG00000122566
HNRNPA3,Heterogeneous Nuclear Ribonucleoprotein A3,Protein Coding,P51991,47,GC02P177212,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA3,ENSG00000170144
HNRNPC,Heterogeneous Nuclear Ribonucleoprotein C,Protein Coding,P07910,50,GC14M026962,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPC,ENSG00000092199
HNRNPD,Heterogeneous Nuclear Ribonucleoprotein D,Protein Coding,Q14103,50,GC04M082352,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPD,ENSG00000138668
HNRNPF,Heterogeneous Nuclear Ribonucleoprotein F,Protein Coding,P52597,45,GC10M043385,2.534613609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPF,ENSG00000169813
HNRNPH1,Heterogeneous Nuclear Ribonucleoprotein H1,Protein Coding,P31943,50,GC05M179614,2.534613609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH1,ENSG00000284254
HNRNPH1,Heterogeneous Nuclear Ribonucleoprotein H1,Protein Coding,P31943,50,GC05M179614,2.534613609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH1,ENSG00000169045
HNRNPH2,Heterogeneous Nuclear Ribonucleoprotein H2,Protein Coding,P55795,48,GC0XP101408,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH2,ENSG00000126945
HNRNPH3,Heterogeneous Nuclear Ribonucleoprotein H3,Protein Coding,P31942,43,GC10P068331,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH3,ENSG00000096746
HNRNPK,Heterogeneous Nuclear Ribonucleoprotein K,Protein Coding,P61978,54,GC09M109180,2.353935242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPK,ENSG00000165119
HNRNPL,Heterogeneous Nuclear Ribonucleoprotein L,Protein Coding,P14866,46,GC19M038836,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPL,ENSG00000282947
HNRNPL,Heterogeneous Nuclear Ribonucleoprotein L,Protein Coding,P14866,46,GC19M038836,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPL,ENSG00000104824
HNRNPLL,Heterogeneous Nuclear Ribonucleoprotein L Like,Protein Coding,Q8WVV9,40,GC02M038561,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPLL,ENSG00000143889
HNRNPM,Heterogeneous Nuclear Ribonucleoprotein M,Protein Coding,P52272,46,GC19P008444,2.534613609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPM,ENSG00000099783
HNRNPR,Heterogeneous Nuclear Ribonucleoprotein R,Protein Coding,O43390,49,GC01M023303,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPR,ENSG00000282958
HNRNPR,Heterogeneous Nuclear Ribonucleoprotein R,Protein Coding,O43390,49,GC01M023303,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPR,ENSG00000125944
HNRNPU,Heterogeneous Nuclear Ribonucleoprotein U,Protein Coding,Q00839,51,GC01M244844,2.353935242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPU,ENSG00000153187
HNRNPUL1,Heterogeneous Nuclear Ribonucleoprotein U Like 1,Protein Coding,Q9BUJ2,44,GC19P041262,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPUL1,ENSG00000105323
HNRNPUL2,Heterogeneous Nuclear Ribonucleoprotein U Like 2,Protein Coding,Q1KMD3,38,GC11M062712,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPUL2,ENSG00000214753
HOXB-AS3,HOXB Cluster Antisense RNA 3,RNA Gene,C0HLZ6,25,GC17P048549,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB-AS3,ENSG00000233101
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,P0DMV8,55,GC06P134838,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1A,ENSG00000204389
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,P0DMV8,55,GC06P134838,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1A,ENSG00000235941
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,P0DMV8,55,GC06P134838,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1A,ENSG00000237724
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,P0DMV8,55,GC06P134838,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1A,ENSG00000234475
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,P0DMV8,55,GC06P134838,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1A,ENSG00000215328
HSPA8,Heat Shock Protein Family A (Hsp70) Member 8,Protein Coding,P11142,58,GC11M123057,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8,ENSG00000109971
HTATSF1,HIV-1 Tat Specific Factor 1,Protein Coding,O43719,41,GC0XP136497,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTATSF1,ENSG00000102241
IHH,Indian Hedgehog Signaling Molecule,Protein Coding,Q14623,55,GC02M219054,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IHH,ENSG00000163501
IK,IK Cytokine,Protein Coding,Q13123,48,GC05P152188,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IK,ENSG00000113141
ILDR1,Immunoglobulin Like Domain Containing Receptor 1,Protein Coding,Q86SU0,44,GC03M121987,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILDR1,ENSG00000145103
ILDR2,Immunoglobulin Like Domain Containing Receptor 2,Protein Coding,Q71H61,41,GC01M166916,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILDR2,ENSG00000143195
ISY1,ISY1 Splicing Factor Homolog,Protein Coding,Q9ULR0,37,GC03M129127,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISY1,ENSG00000240682
ISY1-RAB43,ISY1-RAB43 Readthrough,Protein Coding,NA,23,GC03M129087,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISY1-RAB43,ENSG00000261796
IVNS1ABP,Influenza Virus NS1A Binding Protein,Protein Coding,Q9Y6Y0,51,GC01M185296,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IVNS1ABP,ENSG00000116679
IWS1,"Interacts With SUPT6H, CTD Assembly Factor 1",Protein Coding,Q96ST2,40,GC02M127436,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IWS1,ENSG00000163166
JMJD6,"Jumonji Domain Containing 6, Arginine Demethylase And Lysine Hydroxylase",Protein Coding,Q6NYC1,47,GC17M083443,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JMJD6,ENSG00000070495
KAT2A,Lysine Acetyltransferase 2A,Protein Coding,Q92830,56,GC17M042113,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT2A,ENSG00000108773
KAT2B,Lysine Acetyltransferase 2B,Protein Coding,Q92831,56,GC03P021766,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT2B,ENSG00000114166
KCNJ6,Potassium Inwardly Rectifying Channel Subfamily J Member 6,Protein Coding,P48051,55,GC21M037607,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ6,ENSG00000157542
KCNMA1,Potassium Calcium-Activated Channel Subfamily M Alpha 1,Protein Coding,Q12791,57,GC10M076869,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMA1,ENSG00000156113
KCNQ2,Potassium Voltage-Gated Channel Subfamily Q Member 2,Protein Coding,O43526,56,GC20M063400,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ2,ENSG00000281151
KCNQ2,Potassium Voltage-Gated Channel Subfamily Q Member 2,Protein Coding,O43526,56,GC20M063400,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ2,ENSG00000075043
KDM1A,Lysine Demethylase 1A,Protein Coding,O60341,58,GC01P023019,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM1A,ENSG00000004487
KHDC4,"KH Domain Containing 4, Pre-MRNA Splicing Factor",Protein Coding,Q7Z7F0,37,GC01M155913,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHDC4,ENSG00000132680
KHDRBS1,"KH RNA Binding Domain Containing, Signal Transduction Associated 1",Protein Coding,Q07666,51,GC01P032013,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHDRBS1,ENSG00000121774
KHDRBS2,"KH RNA Binding Domain Containing, Signal Transduction Associated 2",Protein Coding,Q5VWX1,43,GC06M061542,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHDRBS2,ENSG00000112232
KHDRBS3,"KH RNA Binding Domain Containing, Signal Transduction Associated 3",Protein Coding,O75525,46,GC08P135457,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHDRBS3,ENSG00000131773
KHSRP,KH-Type Splicing Regulatory Protein,Protein Coding,Q92945,45,GC19M006413,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHSRP,ENSG00000088247
LARP7,"La Ribonucleoprotein 7, Transcriptional Regulator",Protein Coding,Q4G0J3,47,GC04P112652,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARP7,ENSG00000174720
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000277808
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000275935
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000276628
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000277457
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000278257
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000276774
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000278516
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000278426
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000276959
LENG1,Leukocyte Receptor Cluster Member 1,Protein Coding,Q96BZ8,40,GC19M054155,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG1,ENSG00000105617
LGALS3,Galectin 3,Protein Coding,P17931,53,GC14P055124,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3,ENSG00000131981
LRRC9,Leucine Rich Repeat Containing 9,Protein Coding,Q6ZRR7,28,GC14P059919,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC9,ENSG00000131951
LSM1,"LSM1 Homolog, MRNA Degradation Associated",Protein Coding,O15116,48,GC08M038163,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM1,ENSG00000175324
LSM10,"LSM10, U7 Small Nuclear RNA Associated",Protein Coding,Q969L4,40,GC01M036391,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM10,ENSG00000181817
LSM2,"LSM2 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9Y333,48,GC06M093799,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM2,ENSG00000204392
LSM2,"LSM2 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9Y333,48,GC06M093799,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM2,ENSG00000224979
LSM2,"LSM2 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9Y333,48,GC06M093799,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM2,ENSG00000236826
LSM2,"LSM2 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9Y333,48,GC06M093799,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM2,ENSG00000172850
LSM2,"LSM2 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9Y333,48,GC06M093799,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM2,ENSG00000231502
LSM2,"LSM2 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9Y333,48,GC06M093799,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM2,ENSG00000225998
LSM3,"LSM3 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,P62310,47,GC03P021623,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM3,ENSG00000170860
LSM4,"LSM4 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9Y4Z0,48,GC19M018306,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM4,ENSG00000130520
LSM5,"LSM5 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9Y4Y9,45,GC07M032485,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM5,ENSG00000106355
LSM6,"LSM6 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,P62312,45,GC04P146177,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM6,ENSG00000164167
LSM7,"LSM7 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated",Protein Coding,Q9UK45,46,GC19M002321,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM7,ENSG00000130332
LSM8,"LSM8 Homolog, U6 Small Nuclear RNA Associated",Protein Coding,O95777,40,GC07P118184,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM8,ENSG00000128534
LUC7L3,LUC7 Like 3 Pre-MRNA Splicing Factor,Protein Coding,O95232,42,GC17P050719,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUC7L3,ENSG00000108848
MAGOH,"Mago Homolog, Exon Junction Complex Subunit",Protein Coding,P61326,46,GC01M053226,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGOH,ENSG00000162385
MAGOHB,"Mago Homolog B, Exon Junction Complex Subunit",Protein Coding,Q96A72,44,GC12M029505,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGOHB,ENSG00000111196
MAPK4,Mitogen-Activated Protein Kinase 4,Protein Coding,P31152,47,GC18P050564,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK4,ENSG00000141639
MAPK4,Mitogen-Activated Protein Kinase 4,Protein Coding,P31152,47,GC18P050564,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK4,ENSG00000282110
MAPK9,Mitogen-Activated Protein Kinase 9,Protein Coding,P45984,57,GC05M180309,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9,ENSG00000050748
MBNL1,Muscleblind Like Splicing Regulator 1,Protein Coding,Q9NR56,48,GC03P152243,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBNL1,ENSG00000152601
MBNL2,Muscleblind Like Splicing Regulator 2,Protein Coding,Q5VZF2,46,GC13P097141,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBNL2,ENSG00000139793
MBNL3,Muscleblind Like Splicing Regulator 3,Protein Coding,Q9NUK0,44,GC0XM132369,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBNL3,ENSG00000076770
METTL14,"Methyltransferase 14, N6-Adenosine-Methyltransferase Subunit",Protein Coding,Q9HCE5,46,GC04P118685,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL14,ENSG00000145388
METTL16,"Methyltransferase 16, RNA N6-Adenosine",Protein Coding,Q86W50,41,GC17M002405,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL16,ENSG00000127804
METTL3,"Methyltransferase 3, N6-Adenosine-Methyltransferase Complex Catalytic Subunit",Protein Coding,Q86U44,50,GC14M021498,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL3,ENSG00000165819
METTL4,"Methyltransferase 4, N6-Adenosine",Protein Coding,Q8N3J2,40,GC18M002527,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL4,ENSG00000101574
MFAP1,Microfibril Associated Protein 1,Protein Coding,P55081,40,GC15M043804,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFAP1,ENSG00000140259
MPHOSPH10,M-Phase Phosphoprotein 10,Protein Coding,O00566,41,GC02P071130,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPHOSPH10,ENSG00000124383
MSI1,Musashi RNA Binding Protein 1,Protein Coding,O43347,47,GC12M120341,43.68,CK added,ENSG00000135097
MSI2,Musashi RNA Binding Protein 2,Protein Coding,Q96DH6,47,GC17P057255,49.79,CK added,ENSG00000153944
MTREX,Mtr4 Exosome RNA Helicase,Protein Coding,P42285,45,GC05P055315,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTREX,ENSG00000039123
MYOD1,Myogenic Differentiation 1,Protein Coding,P15172,55,GC11P017719,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOD1,ENSG00000129152
NCBP1,Nuclear Cap Binding Protein Subunit 1,Protein Coding,Q09161,45,GC09P097633,3.520271778,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCBP1,ENSG00000136937
NCBP2,Nuclear Cap Binding Protein Subunit 2,Protein Coding,P52298,42,GC03M196935,3.520271778,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCBP2,ENSG00000114503
NCBP2L,Nuclear Cap Binding Protein Subunit 2 Like,Protein Coding,A6PVI3,26,GC0XP107788,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCBP2L,ENSG00000170935
NCDN,Neurochondrin,Protein Coding,Q9UBB6,42,GC01P035557,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCDN,ENSG00000020129
NCL,Nucleolin,Protein Coding,P19338,53,GC02M231453,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCL,ENSG00000115053
NEO1,Neogenin 1,Protein Coding,Q92859,51,GC15P073051,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEO1,ENSG00000067141
NKAP,NFKB Activating Protein,Protein Coding,Q8N5F7,46,GC0XM120377,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKAP,ENSG00000101882
NOL3,Nucleolar Protein 3,Protein Coding,O60936,48,GC16P082810,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOL3,ENSG00000140939
NONO,Non-POU Domain Containing Octamer Binding,Protein Coding,Q15233,53,GC0XP071259,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONO,ENSG00000147140
NOVA2,NOVA Alternative Splicing Regulator 2,Protein Coding,Q9UNW9,43,GC19M045933,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOVA2,ENSG00000104967
NPM1,Nucleophosmin 1,Protein Coding,P06748,59,GC05P171387,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPM1,ENSG00000181163
NRDE2,"NRDE-2, Necessary For RNA Interference, Domain Containing",Protein Coding,Q9H7Z3,40,GC14M119741,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRDE2,ENSG00000119720
NSRP1,Nuclear Speckle Splicing Regulatory Protein 1,Protein Coding,Q9H0G5,46,GC17P030115,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSRP1,ENSG00000126653
NTNG1,Netrin G1,Protein Coding,Q9Y2I2,50,GC01P107140,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTNG1,ENSG00000162631
NUP98,Nucleoporin 98 And 96 Precursor,Protein Coding,P52948,54,GC11M003671,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP98,ENSG00000110713
PABPC1,Poly(A) Binding Protein Cytoplasmic 1,Protein Coding,P11940,51,GC08M100685,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC1,ENSG00000070756
PAXBP1,PAX3 And PAX7 Binding Protein 1,Protein Coding,Q9Y5B6,43,GC21M032734,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAXBP1,ENSG00000263141
PAXBP1,PAX3 And PAX7 Binding Protein 1,Protein Coding,Q9Y5B6,43,GC21M032734,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAXBP1,ENSG00000159086
PCBP1,Poly(RC) Binding Protein 1,Protein Coding,Q15365,47,GC02P070087,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP1,ENSG00000169564
PCBP2,Poly(RC) Binding Protein 2,Protein Coding,Q15366,48,GC12P053452,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP2,ENSG00000197111
PCBP4,Poly(RC) Binding Protein 4,Protein Coding,P57723,43,GC03M051957,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP4,ENSG00000090097
PDCD7,Programmed Cell Death 7,Protein Coding,Q8N8D1,37,GC15M065117,2.461931705,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD7,ENSG00000090470
